Dosya,Yöntem,Entropy,Kontrast (Std),Renk Canlılığı,Kenar Yoğunluğu,Ort. Parlaklık,PSNR (dB),SSIM,İşlem Süresi (ms)
1406_7.png,"MSRCR (σ=[15,80,250])",7.0679,87.0097,39.4408,78.9635,137.0894,14.173,0.675,1999.52
1407_2.png,DCP (Dark Channel Prior),7.7671,59.0836,34.5081,63.991,103.5747,17.2833,0.9013,125.19
1407_2.png,CLAHE (LAB),7.7213,57.1629,18.2912,87.9806,152.1327,16.8936,0.8209,121.91
1407_2.png,"MSRCR (σ=[15,80,250])",7.1775,85.9785,27.8408,106.2745,143.1713,16.7832,0.7335,2511.83
1406_6.png,DCP (Dark Channel Prior),7.1653,77.8327,49.3522,50.3847,104.1592,20.848,0.9153,115.69
1406_6.png,CLAHE (LAB),7.5054,64.4621,25.1541,64.9595,149.0373,15.1387,0.7651,123.99
1406_6.png,"MSRCR (σ=[15,80,250])",7.0654,87.1454,39.7981,80.0166,137.1332,14.2516,0.6752,2670.63
1406_9.png,DCP (Dark Channel Prior),7.1756,77.1148,48.9239,49.5349,106.7797,20.9999,0.9082,118.98
1406_9.png,CLAHE (LAB),7.4751,62.441,22.5943,61.0476,155.0603,13.9041,0.7486,124.3
1406_9.png,"MSRCR (σ=[15,80,250])",7.0659,86.767,38.6746,76.9479,137.0322,14.0057,0.6739,3074.54
1407_5.png,DCP (Dark Channel Prior),7.7647,58.6137,34.0722,64.2256,106.7622,17.798,0.9014,142.64
1407_5.png,CLAHE (LAB),7.6563,54.8607,16.3065,82.7781,158.1812,15.8767,0.8226,133.65
1407_5.png,"MSRCR (σ=[15,80,250])",7.2106,85.4274,27.979,106.1009,143.1688,16.2649,0.7224,3120.87
1406_8.png,DCP (Dark Channel Prior),7.1674,77.321,49.0788,49.8115,105.8951,20.9766,0.9108,119.24
1406_8.png,CLAHE (LAB),7.4894,63.1232,23.4007,62.3224,153.0141,14.3129,0.7547,99.1
1406_8.png,"MSRCR (σ=[15,80,250])",7.0672,86.8766,39.0617,77.9332,137.0598,14.0904,0.6747,3661.51
1407_4.png,DCP (Dark Channel Prior),7.7693,58.9569,34.2664,64.3034,105.8909,17.6735,0.9017,188.7
1407_4.png,CLAHE (LAB),7.6788,55.611,16.9329,84.4573,156.2153,16.2232,0.8223,127.42
1407_4.png,"MSRCR (σ=[15,80,250])",7.1941,85.6566,27.9697,106.2739,143.1243,16.4424,0.7256,3359.96
1407_3.png,DCP (Dark Channel Prior),7.7692,59.0967,34.4064,64.2049,104.7954,17.4926,0.9015,126.93
1407_3.png,CLAHE (LAB),7.6986,56.3665,17.6013,86.304,154.3691,16.526,0.8211,124.62
1407_3.png,"MSRCR (σ=[15,80,250])",7.1841,85.838,27.938,106.3365,143.1234,16.615,0.7292,3570.66
1406_5.png,DCP (Dark Channel Prior),7.1609,78.0711,49.433,50.6209,103.3847,20.7622,0.9173,116.76
1406_5.png,CLAHE (LAB),7.5158,65.1252,26.1059,66.2391,147.1285,15.5713,0.7698,121.42
1406_5.png,"MSRCR (σ=[15,80,250])",7.0597,87.296,40.1136,81.092,137.1972,14.3238,0.6751,3604.65
1406_10.png,DCP (Dark Channel Prior),7.3689,75.6008,48.4879,49.2134,106.6814,20.8549,0.9023,118.84
1406_10.png,CLAHE (LAB),7.4838,62.0678,21.8057,59.7641,157.0322,13.5317,0.7437,123.33
1406_10.png,"MSRCR (σ=[15,80,250])",7.0659,86.6593,38.2764,76.0008,137.0171,13.9211,0.6732,3549.71
1407_1.png,DCP (Dark Channel Prior),7.7721,59.412,34.6077,64.0823,102.7997,17.1452,0.901,176.06
1407_1.png,CLAHE (LAB),7.7414,57.8961,19.0524,89.6554,150.085,17.2402,0.8203,122.29
1407_1.png,"MSRCR (σ=[15,80,250])",7.1722,86.0777,27.6859,106.083,143.2687,16.9422,0.7388,3680.82
